giant_panda|熊貓|亞洲
red_panda|小熊貓|亞洲
snow_leopard|雪豹|亞洲
tibetan_antelope|藏羚羊|亞洲
chinese_alligator|揚子鱷|亞洲
crested_ibis|朱䴉|亞洲
golden_snub_nosed_monkey|金絲猴|亞洲
takin|羚牛|亞洲
chinese_pheasant|環頸雉|亞洲
mandarin_duck|鴛鴦|亞洲
japanese_crane|丹頂鶴|亞洲
japanese_macaque|日本獼猴|亞洲
japanese_serow|日本鬣羚|亞洲
japanese_giant_salamander|大鯢|亞洲
okinawa_rail|沖繩秧雞|亞洲
amami_duck|琉球鳧|亞洲
tiger|老虎|亞洲
asian_elephant|亞洲象|亞洲
orangutan|紅毛猩猩|亞洲
sumatran_rhinoceros|蘇門答臘犀牛|亞洲
javan_rhinoceros|爪哇犀牛|亞洲
malayan_tapir|馬來貘|亞洲
clouded_leopard|雲豹|亞洲
sun_bear|馬來熊|亞洲
proboscis_monkey|長鼻猴|亞洲
binturong|熊狸|亞洲
gibbon|長臂猿|亞洲
langur|葉猴|亞洲
macaque|獼猴|亞洲
asian_water_buffalo|亞洲水牛|亞洲
gaur|野牛|亞洲
banteng|爪哇野牛|亞洲
serow|鬣羚|亞洲
musk_deer|麝香鹿|亞洲
muntjac|麂|亞洲
sambar_deer|水鹿|亞洲
hog_deer|豚鹿|亞洲
mouse_deer|鼠鹿|亞洲
pangolin|穿山甲|亞洲
civet|靈貓|亞洲
masked_palm_civet|果子狸|亞洲
oriental_otter|亞洲水獺|亞洲
smooth-coated_otter|平滑獺|亞洲
king_cobra|眼鏡王蛇|亞洲
reticulated_python|網紋蟒|亞洲
burmese_python|緬甸蟒|亞洲
kingfisher|翠鳥|亞洲
hornbill|犀鳥|亞洲
argus_pheasant|孔雀雉|亞洲
bengal_tiger|孟加拉虎|亞洲
indian_elephant|印度象|亞洲
one-horned_rhinoceros|印度犀牛|亞洲
sloth_bear|懶熊|亞洲
dhole|亞洲胡狼|亞洲
indian_pangolin|印度穿山甲|亞洲
hog_badger|豬獾|亞洲
indian_peacock|印度孔雀|亞洲
great_indian_hornbill|印度大犀鳥|亞洲
goitered_gazelle|瞪羚|亞洲
markhor|捻角山羊|亞洲
siberian_ibex|西伯利亞山羊|亞洲
mouflon|野生綿羊|亞洲
argali|盤羊|亞洲
siberian_roe_deer|西伯利亞梅花鹿|亞洲
siberian_tiger|東北虎|亞洲
siberian_crane|西伯利亞鶴|亞洲
saker_falcon|草原隼|亞洲
steppe_eagle|草原鷹|亞洲
arabian_leopard|阿拉伯豹|亞洲
arabian_orix|阿拉伯直角羚|亞洲
dromedary|單峰駱駝|亞洲
african_elephant|非洲象|非洲
lion|獅子|非洲
african_buffalo|非洲水牛|非洲
leopard|豹|非洲
cheetah|獵豹|非洲
giraffe|長頸鹿|非洲
zebra|斑馬|非洲
hippopotamus|河馬|非洲
rhinoceros|犀牛|非洲
wildebeest|牛羚|非洲
gazelle|瞪羚|非洲
impala|黑斑羚|非洲
kudu|捻角羚|非洲
eland|巨羚|非洲
hartebeest|狷羚|非洲
topi|水羚|非洲
sable_antelope|劍羚|非洲
waterbuck|水羚|非洲
springbok|跳羚|非洲
gemsbok|劍角羚|非洲
oryx|直角羚|非洲
addax|白羚|非洲
western_gorilla|西部大猩猩|非洲
eastern_gorilla|東部大猩猩|非洲
chimpanzee|黑猩猩|非洲
bonobo|倭黑猩猩|非洲
african_colobus|疣猴|非洲
mandrill|山魈|非洲
drill|白眉猴|非洲
potto|懶猴|非洲
galago|狐猴|非洲
african_wild_dog|非洲野犬|非洲
